"VendorID","Payment_type","Store_and_fwd_flag","RateCodeID","f.Extra","f.MTA_tax","f.Improvement_surcharge","lpep_pickup_period","Trip_type","lpep_pickup_date","multiouts","f.espeed","f.tlenkm","f.traveltime","f.distHaversine","AnyToll","f.Fare_amount","f.Passenger_count","Passenger_count","tlenkm","Pickup_longitude","Pickup_latitude","Dropoff_longitude","Dropoff_latitude","Fare_amount","espeed","Tip_amount","Tolls_amount","lpep_pickup_time","traveltime","distHaversine","AnyTip","Total_amount"
"f.Vendor-VeriFone","f.PayType-Cash","FALSE","Standard rate","f.Extra-0.5","f.MTA_tax_YES","f.Improvement_surcharge_YES","Period night","f.TripType-Street-Hail","2016-01-01","FALSE","f.espeed-(1,25]","f.tlenkm-(1,5]","f.traveltime-[0,15]","f.distHaversine-[0,5]","AnyToll Yes","f.Fare_amount-(9,14.5]","f.Passenger_count-1",1,4.55444352,-73.9189605712891,40.7429962158203,-73.9234924316406,40.7704086303711,12,18.976848,0,0,0,14.4,3.07537054862187,"AnyTip No",13.3
"f.Vendor-VeriFone","f.PayType-Credit card","FALSE","Standard rate","f.Extra-0.5","f.MTA_tax_YES","f.Improvement_surcharge_YES","Period night","f.TripType-Street-Hail","2016-01-01","FALSE","f.espeed-(25,130]","f.tlenkm-(5,67.9]","f.traveltime-(15,40]","f.distHaversine-(5,10]","AnyToll Yes","f.Fare_amount-(14.5,71.5]","f.Passenger_count-Others",5,7.77313152,-73.8934478759766,40.7488059997559,-73.9411087036133,40.711181640625,18,27.8440532059702,2,0,0,16.75,5.80574895992066,"AnyTip Yes",21.3
"f.Vendor-VeriFone","f.PayType-Cash","FALSE","Standard rate","f.Extra-0.5","f.MTA_tax_YES","f.Improvement_surcharge_YES","Period night","f.TripType-Street-Hail","2016-01-01","FALSE","f.espeed-(1,25]","f.tlenkm-(1,5]","f.traveltime-[0,15]","f.distHaversine-[0,5]","AnyToll Yes","f.Fare_amount-(6.5,9]","f.Passenger_count-1",1,2.18870784,-73.9174728393555,40.7651138305664,-73.9338912963867,40.7547607421875,8,14.0954351055456,0,0,0,9.31666666666667,1.80133111677995,"AnyTip No",9.3
"f.Vendor-VeriFone","f.PayType-Cash","FALSE","Standard rate","f.Extra-0.5","f.MTA_tax_YES","f.Improvement_surcharge_YES","Period night","f.TripType-Street-Hail","2016-01-01","FALSE","f.espeed-(1,25]","f.tlenkm-(5,67.9]","f.traveltime-(15,40]","f.distHaversine-[0,5]","AnyToll Yes","f.Fare_amount-(14.5,71.5]","f.Passenger_count-1",1,6.64659072,-73.9105682373047,40.6996574401855,-73.9573593139648,40.6722831726074,15.5,21.6933151332729,0,0,0,18.3833333333333,4.98865304674518,"AnyTip No",16.8
"f.Vendor-VeriFone","f.PayType-Credit card","FALSE","Standard rate","f.Extra-0.5","f.MTA_tax_YES","f.Improvement_surcharge_YES","Period night","f.TripType-Street-Hail","2016-01-01","FALSE","f.espeed-(1,25]","f.tlenkm-(5,67.9]","f.traveltime-(15,40]","f.distHaversine-[0,5]","AnyToll Yes","f.Fare_amount-(14.5,71.5]","f.Passenger_count-1",1,5.40739584,-73.9516220092773,40.7150955200195,-73.9480438232422,40.6767959594727,15,17.6168552253394,3.26,0,0,18.4166666666667,4.27417012090645,"AnyTip Yes",19.56
"f.Vendor-VeriFone","f.PayType-Credit card","FALSE","Standard rate","f.Extra-0.5","f.MTA_tax_YES","f.Improvement_surcharge_YES","Period night","f.TripType-Street-Hail","2016-01-01","FALSE","f.espeed-(1,25]","f.tlenkm-(5,67.9]","f.traveltime-(15,40]","f.distHaversine-[0,5]","AnyToll Yes","f.Fare_amount-(14.5,71.5]","f.Passenger_count-1",1,6.14769408,-73.9931335449219,40.6828269958496,-73.9803009033203,40.7220497131348,15.5,20.6645179159664,3,0,0,17.85,4.4985547052825,"AnyTip Yes",19.8
"f.Vendor-VeriFone","f.PayType-Credit card","FALSE","Standard rate","f.Extra-0.5","f.MTA_tax_YES","f.Improvement_surcharge_YES","Period night","f.TripType-Street-Hail","2016-01-01","FALSE","f.espeed-(1,25]","f.tlenkm-(5,67.9]","f.traveltime-(15,40]","f.distHaversine-(5,10]","AnyToll Yes","f.Fare_amount-(14.5,71.5]","f.Passenger_count-1",1,6.3569088,-73.9477691650391,40.6688461303711,-73.9591445922852,40.7184982299805,15,23.7394934439834,3.26,0,0,16.0666666666667,5.61001666798488,"AnyTip Yes",19.56
"f.Vendor-VeriFone","f.PayType-Cash","FALSE","Standard rate","f.Extra-0.5","f.MTA_tax_YES","f.Improvement_surcharge_YES","Period night","f.TripType-Street-Hail","2016-01-01","FALSE","f.espeed-(1,25]","f.tlenkm-(1,5]","f.traveltime-[0,15]","f.distHaversine-[0,5]","AnyToll Yes","f.Fare_amount-[0,6.5]","f.Passenger_count-1",1,1.27138176,-73.9648284912109,40.6832275390625,-73.956298828125,40.6759719848633,5,17.0147744832714,0,0,0,4.48333333333333,1.08206890076387,"AnyTip No",6.3
"f.Vendor-VeriFone","f.PayType-Cash","FALSE","Standard rate","f.Extra-0.5","f.MTA_tax_YES","f.Improvement_surcharge_YES","Period night","f.TripType-Street-Hail","2016-01-01","FALSE","f.espeed-(1,25]","f.tlenkm-(1,5]","f.traveltime-[0,15]","f.distHaversine-[0,5]","AnyToll Yes","f.Fare_amount-(6.5,9]","f.Passenger_count-1",1,2.2530816,-73.9247283935547,40.833740234375,-73.9452438354492,40.8283462524414,7.5,15.5683181573896,0,0,0,8.68333333333333,1.82934562987387,"AnyTip No",8.8
"f.Vendor-VeriFone","f.PayType-Credit card","FALSE","Standard rate","f.Extra-0.5","f.MTA_tax_YES","f.Improvement_surcharge_YES","Period night","f.TripType-Street-Hail","2016-01-01","FALSE","f.espeed-(1,25]","f.tlenkm-(5,67.9]","f.traveltime-(15,40]","f.distHaversine-(5,10]","AnyToll Yes","f.Fare_amount-(14.5,71.5]","f.Passenger_count-1",1,7.0811136,-73.9627456665039,40.6607208251953,-73.9597091674805,40.7179527282715,16,23.5818769287697,3.46,0,0,18.0166666666667,6.37617983909796,"AnyTip Yes",20.76
"f.Vendor-VeriFone","f.PayType-Credit card","FALSE","Standard rate","f.Extra-0.5","f.MTA_tax_YES","f.Improvement_surcharge_YES","Period night","f.TripType-Street-Hail","2016-01-01","FALSE","f.espeed-(1,25]","f.tlenkm-(5,67.9]","f.traveltime-[0,15]","f.distHaversine-(5,10]","AnyToll Yes","f.Fare_amount-(9,14.5]","f.Passenger_count-1",1,5.74535808,-73.9607086181641,40.6488151550293,-73.9607391357422,40.6970062255859,13.5,24.8597224615385,2,0,0,13.8666666666667,5.36460605390441,"AnyTip Yes",16.8
"f.Vendor-VeriFone","f.PayType-Cash","FALSE","Standard rate","f.Extra-0.5","f.MTA_tax_YES","f.Improvement_surcharge_YES","Period night","f.TripType-Street-Hail","2016-01-01","FALSE","f.espeed-(1,25]","f.tlenkm-(1,5]","f.traveltime-[0,15]","f.distHaversine-[0,5]","AnyToll Yes","f.Fare_amount-[0,6.5]","f.Passenger_count-1",1,1.35184896,-73.9193878173828,40.7584419250488,-73.9072265625,40.7535209655762,5.5,17.5691561588448,0,0,0,4.61666666666667,1.16262990068614,"AnyTip No",6.8
